Appingedam,Delfzijl,Emmen,Groningen,Haren,Loppersum,Menterwolde,Slochteren,Tynaarlo,Veendam,West-Nederland,year,top10-average
63239.0,61842.0,74636.0,62635.0,120413.0,65708.0,67499.0,76576.0,,62633.0,96079.0,1995,72797.88888888889
63839.0,62973.0,83434.0,69727.0,127622.0,65679.0,73735.0,88800.0,,68196.0,105359.0,1996,78222.77777777778
75184.0,73437.0,93054.0,74094.0,144939.0,74255.0,80937.0,96946.0,,72862.0,116500.0,1997,87300.88888888889
77023.0,69550.0,100686.0,77433.0,151621.0,86487.0,90496.0,96869.0,,83569.0,128373.0,1998,92637.11111111111
80202.0,78474.0,108330.0,84859.0,167272.0,93141.0,100224.0,118990.0,128198.0,95479.0,150549.0,1999,105516.9
93688.0,92073.0,122583.0,99943.0,209076.0,114180.0,124685.0,140196.0,167913.0,100755.0,179105.0,2000,126509.2
112452.0,96377.0,133447.0,116391.0,244611.0,128646.0,139195.0,163383.0,193475.0,120481.0,195339.0,2001,144845.8
126843.0,113476.0,148534.0,127692.0,240368.0,152742.0,157011.0,170266.0,208101.0,130553.0,206232.0,2002,157558.6
141034.0,112657.0,154476.0,139806.0,244514.0,152407.0,166474.0,170629.0,202837.0,137740.0,210867.0,2003,162257.4
153787.0,126393.0,157012.0,146570.0,291016.0,160441.0,160129.0,174788.0,223887.0,141701.0,219236.0,2004,173572.4
162537.0,134929.0,168827.0,164280.0,309713.0,160658.0,162149.0,195079.0,234087.0,143828.0,230694.0,2005,183608.7
150387.0,141315.0,176542.0,176792.0,301256.0,179773.0,190447.0,198406.0,239156.0,156333.0,244866.0,2006,191040.7
161195.0,150673.0,187535.0,185270.0,324794.0,187471.0,191021.0,208870.0,262361.0,162491.0,259586.0,2007,202168.1
179629.0,153332.0,181218.0,182934.0,339954.0,199747.0,177742.0,220804.0,272412.0,164079.0,268223.0,2008,207185.1
159694.0,138547.0,171201.0,184709.0,329720.0,176819.0,155566.0,218601.0,244327.0,153928.0,249839.0,2009,193311.2
167311.0,141921.0,173616.0,180217.0,296918.0,169303.0,176479.0,187206.0,247609.0,152994.0,253528.0,2010,189357.4
171155.0,143982.0,170985.0,182373.0,346393.0,183440.0,164818.0,213565.0,254612.0,154100.0,255658.0,2011,198542.3
151738.0,137535.0,163328.0,173646.0,311820.0,171097.0,156691.0,191872.0,231622.0,145414.0,239438.0,2012,183476.3
141286.0,132658.0,154309.0,165860.0,301664.0,149523.0,146511.0,168967.0,219146.0,137586.0,227547.0,2013,171751.0
146861.0,123452.0,154291.0,170483.0,287535.0,152793.0,141824.0,176786.0,232828.0,142885.0,237708.0,2014,172973.8
146925.0,130887.0,163937.0,177441.0,302170.0,146694.0,150535.0,193719.0,240252.0,144501.0,247357.0,2015,179706.1
164504.0,132086.0,171741.0,186685.0,314351.0,194173.0,174720.0,201318.0,262004.0,133346.0,264412.0,2016,193492.8
174924.0,140643.0,184750.0,206996.0,332386.0,175980.0,183958.0,234489.0,273808.0,158614.0,288951.0,2017,206654.8
192439.0,142173.0,196312.0,226280.0,371530.0,187507.0,,,311688.0,173373.0,319865.0,2018,225162.75
